,fighter,rank,odds,wins,losses,draw,td_pct,td_attempted,td_landed,sig_str_attempted,sig_str_landed,sig_str_pct,kd,tot_str_landed,tot_str_attempted,sub_attempts,pass,rev,age,Height_cms,Stance,Reach_cms,Weight_lbs,win_by_KO/TKO,win_by_Submission
567,Islam Makhachev,,-600,4,1,0,1.0,1,1,18,7,0.38,0,14,26,1,2,0,26,177.8,Orthodox,177.8,155,1,1
568,Ion Cutelaba,,-135,2,2,0,0.0,0,0,46,40,0.86,0,40,46,0,0,0,24,185.42,Southpaw,190.5,205,1,0
569,Ross Pearson,,195,12,12,0,0.0,2,0,224,79,0.35,0,81,226,0,0,0,33,172.72,Orthodox,175.26,155,4,0
570,Katlyn Chookagian,7.0,-160,3,1,0,0.0,0,0,202,62,0.3,0,62,202,0,0,0,29,175.26,Orthodox,172.72,125,0,0
571,Nina Ansaroff,13.0,-140,2,2,0,0.0,0,0,118,49,0.41,0,56,127,0,1,0,32,165.1,Orthodox,162.56,115,0,1
572,Anthony Smith,,130,5,3,0,0.0,0,0,31,23,0.74,1,23,31,0,0,0,29,193.04,Orthodox,193.04,205,4,0
573,Corey Anderson,9.0,100,7,4,0,0.36,19,7,97,48,0.49,0,88,140,0,7,0,28,190.5,Orthodox,200.66,205,2,0
574,Abu Azaitar,,-210,0,0,0,1.0,1,1,128,48,0.37,0,135,226,0,2,1,32,175.26,Orthodox,193.04,185,0,0
575,Stefan Struve,13.0,165,12,8,0,0.0,0,0,78,31,0.39,0,33,81,0,0,0,30,210.82,Orthodox,213.36,265,5,5
576,David Zawada,,175,0,0,0,0.4,5,2,64,33,0.51,0,63,99,5,3,1,27,182.88,Orthodox,190.5,170,0,0
577,Marc Diakiese,,-160,3,1,0,0.0,4,0,220,50,0.22,0,50,220,0,0,0,25,177.8,Orthodox,185.42,155,2,0
578,Damir Hadzovic,,130,1,2,0,0.0,0,0,155,71,0.45,1,71,155,0,0,0,31,175.26,Orthodox,177.8,155,1,0
579,Bartosz Fabinski,,120,2,0,0,0.66,9,6,48,35,0.72,0,72,91,0,8,0,32,182.88,Orthodox,190.5,170,0,0
580,Nad Narimani,,-220,0,0,0,0.54,11,6,69,45,0.65,0,67,97,0,6,0,31,172.72,Orthodox,177.8,145,0,0
581,Aleksandar Rakic,,-115,1,0,0,0.75,4,3,144,104,0.72,1,263,317,0,4,0,26,193.04,Orthodox,198.12,205,0,0
582,Manny Bermudez,,-320,1,0,0,0.0,0,0,5,3,0.6,1,3,5,2,1,0,24,177.8,Orthodox,180.34,135,0,1
583,Darko Stosic,,-230,0,0,0,0.0,0,0,16,9,0.56,0,9,17,0,0,0,26,182.88,Orthodox,193.04,205,0,0
584,Liu Pingyuan,,105,0,0,0,1.0,1,1,77,32,0.41,0,59,106,2,0,1,25,167.64,Orthodox,182.88,135,0,0
585,Blagoy Ivanov,,165,0,0,0,0.0,0,0,229,51,0.22,0,51,229,0,0,0,31,180.34,Southpaw,185.42,250,0,0
586,Zak Ottow,,-105,3,2,0,0.25,4,1,16,6,0.37,1,33,47,1,6,0,31,180.34,Orthodox,182.88,170,1,0
587,Rick Glenn,,160,2,2,0,0.0,0,0,137,48,0.35,0,59,151,1,0,0,29,182.88,Southpaw,177.8,145,0,0
588,Niko Price,,110,3,2,0,0.5,2,1,39,12,0.3,0,40,81,0,0,1,28,182.88,Orthodox,193.04,170,1,2
589,Chad Mendes,,-120,8,4,0,0.0,0,0,27,17,0.62,1,17,27,0,0,0,33,167.64,Orthodox,167.64,145,5,0
